timestamp(ms);signal;
"1750901631.87";"120817";
"1750901631.951";"120836";
"1750901632.031";"120837";
"1750901632.111";"120702";
"1750901632.191";"120676";
"1750901632.271";"120737";
"1750901632.351";"120758";
"1750901632.431";"120777";
"1750901632.511";"120812";
"1750901632.591";"120846";
"1750901632.67";"120864";
"1750901632.75";"120814";
"1750901632.834";"120696";
"1750901632.911";"120718";
"1750901632.991";"120776";
"1750901633.071";"120782";
"1750901633.151";"120810";
"1750901633.231";"120847";
"1750901633.311";"120862";
"1750901633.39";"120874";
"1750901633.47";"120755";
"1750901633.551";"120695";
"1750901633.631";"120734";
"1750901633.71";"120773";
"1750901633.791";"120769";
"1750901633.871";"120793";
"1750901633.95";"120826";
"1750901634.031";"120848";
"1750901634.111";"120861";
"1750901634.191";"120726";
"1750901634.271";"120690";
"1750901634.351";"120734";
"1750901634.431";"120756";
"1750901634.511";"120768";
"1750901634.591";"120802";
"1750901634.67";"120831";
"1750901634.751";"120855";
"1750901634.831";"120865";
"1750901634.91";"120734";
"1750901634.991";"120708";
"1750901635.069";"120746";
"1750901635.149";"120775";
"1750901635.229";"120773";
"1750901635.309";"120807";
"1750901635.389";"120833";
"1750901635.469";"120847";
"1750901635.549";"120843";
"1750901635.629";"120711";
"1750901635.709";"120703";
"1750901635.789";"120733";
"1750901635.869";"120737";
"1750901635.949";"120750";
"1750901636.029";"120778";
"1750901636.109";"120800";
"1750901636.189";"120806";
"1750901636.269";"120798";
"1750901636.349";"120658";
"1750901636.429";"120648";
"1750901636.509";"120694";
"1750901636.589";"120705";
"1750901636.669";"120721";
"1750901636.749";"120765";
"1750901636.829";"120788";
"1750901636.908";"120789";
"1750901636.989";"120780";
"1750901637.069";"120632";
"1750901637.149";"120630";
"1750901637.229";"120686";
"1750901637.309";"120694";
"1750901637.389";"120710";
"1750901637.469";"120712";
"1750901637.549";"120685";
"1750901637.629";"120717";
"1750901637.708";"120768";
"1750901637.789";"120679";
"1750901637.869";"120669";
"1750901637.949";"120707";
"1750901638.029";"120715";
"1750901638.109";"120714";
"1750901638.189";"120753";
"1750901638.269";"120787";
"1750901638.349";"120823";
"1750901638.429";"120803";
"1750901638.509";"120662";
"1750901638.589";"120674";
"1750901638.669";"120719";
"1750901638.748";"120718";
"1750901638.829";"120729";
"1750901638.935";"120768";
"1750901638.989";"120794";
"1750901639.069";"120806";
"1750901639.149";"120814";
"1750901639.229";"120675";
"1750901639.307";"120640";
"1750901639.387";"120692";
"1750901639.467";"120701";
"1750901639.547";"120710";
"1750901639.627";"120739";
"1750901639.707";"120774";
"1750901639.787";"120781";
"1750901639.867";"120805";
"1750901639.947";"120670";
"1750901640.027";"120625";
"1750901640.107";"120684";
"1750901640.187";"120709";
"1750901640.267";"120717";
"1750901640.347";"120745";
"1750901640.427";"120768";
"1750901640.506";"120770";
"1750901640.587";"120774";
"1750901640.667";"120740";
"1750901640.747";"120605";
"1750901640.827";"120617";
"1750901640.907";"120659";
"1750901640.987";"120655";
"1750901641.067";"120662";
"1750901641.147";"120691";
"1750901641.227";"120730";
"1750901641.307";"120739";
"1750901641.387";"120753";
"1750901641.467";"120664";
"1750901641.547";"120599";
"1750901641.627";"120634";
"1750901641.707";"120664";
"1750901641.787";"120680";
"1750901641.867";"120690";
"1750901641.947";"120727";
"1750901642.027";"120738";
"1750901642.107";"120754";
"1750901642.187";"120706";
"1750901642.267";"120588";
"1750901642.347";"120613";
"1750901642.427";"120662";
"1750901642.507";"120670";
"1750901642.587";"120688";
"1750901642.667";"120723";
"1750901642.747";"120744";
"1750901642.827";"120756";
"1750901642.907";"120759";
"1750901642.995";"120725";
"1750901643.067";"120591";
"1750901643.147";"120602";
"1750901643.227";"120658";
"1750901643.307";"120651";
"1750901643.387";"120659";
"1750901643.467";"120689";
"1750901643.547";"120704";
"1750901643.627";"120714";
"1750901643.707";"120733";
"1750901643.787";"120740";
"1750901643.867";"120601";
"1750901643.947";"120588";
"1750901644.025";"120636";
"1750901644.105";"120632";
"1750901644.185";"120647";
"1750901644.265";"120689";
"1750901644.345";"120718";
"1750901644.425";"120732";
"1750901644.505";"120747";
"1750901644.585";"120670";
"1750901644.665";"120592";
"1750901644.745";"120636";
"1750901644.825";"120666";
"1750901644.905";"120657";
"1750901644.985";"120675";
"1750901645.065";"120705";
"1750901645.145";"120730";
"1750901645.225";"120723";
"1750901645.305";"120731";
"1750901645.385";"120649";
"1750901645.465";"120551";
"1750901645.545";"120588";
"1750901645.625";"120609";
"1750901645.705";"120609";
"1750901645.785";"120629";
"1750901645.865";"120657";
"1750901645.945";"120683";
"1750901646.025";"120681";
"1750901646.105";"120692";
"1750901646.185";"120592";
"1750901646.265";"120524";
"1750901646.345";"120559";
"1750901646.425";"120599";
"1750901646.505";"120600";
"1750901646.585";"120625";
"1750901646.665";"120658";
"1750901646.745";"120665";
"1750901646.825";"120675";
